group,modality,feature,cohens_d,pvalue,neg_log_pval,n_driver,n_nondriver
B,repertoire,repertoire_8,2.836675817872923,6.433880444902073e-10,9.19152701346851,18,18
B,repertoire,repertoire_10,1.891808210977239,2.3129802282111344e-6,5.63582807964421,18,18
B,repertoire,repertoire_6,1.7583358665492472,9.835275949617132e-6,5.007213450516911,18,18
B,repertoire,repertoire_9,1.6644748065398867,0.000017580849646493516,4.754960140191307,18,18
B,repertoire,repertoire_7,1.442674705092499,0.00012574392872356785,3.9005129747452423,18,18
B,repertoire,repertoire_11,1.0782930017221437,0.00336910044510801,2.472486040931655,18,18
B,repertoire,repertoire_5,-0.2681809748622483,0.4267358069101168,0.36984091446190426,18,18
B,repertoire,repertoire_0,-0.16663407766383959,0.6203856461259282,0.2073382590215833,18,18
B,repertoire,repertoire_4,-0.052147186682379366,0.8766432186244222,0.057177122379957965,18,18
B,repertoire,repertoire_1,-0.049565099534937436,0.8826771128860935,0.05419813417638651,18,18
B,repertoire,repertoire_2,0.04729136546160505,0.8880654355526366,0.05155503281100681,18,18
B,repertoire,repertoire_3,-0.009956673570168948,0.9763454434902976,0.010396496208025921,18,18
B,transcriptome,transcriptome_3,1.617513273934258,0.000029695358667666672,4.52731142484233,18,18
B,transcriptome,transcriptome_11,1.6033828590897605,0.000030266356845018203,4.51903985183253,18,18
B,transcriptome,transcriptome_1,1.5828750119860469,0.000052853819893556304,4.276923619544015,18,18
B,transcriptome,transcriptome_7,1.4920751538953048,0.00010322682043252567,3.986207449486641,18,18
B,transcriptome,transcriptome_10,1.4373877025827773,0.00013148912726822356,3.8811101571562476,18,18
B,transcriptome,transcriptome_2,1.305491293018646,0.0004267004861765084,3.369876862311406,18,18
B,transcriptome,transcriptome_4,1.2487659360387748,0.0006731126340852664,3.17191225781345,18,18
B,transcriptome,transcriptome_5,1.245965791870195,0.0007210458499680054,3.1420371184220537,18,18
B,transcriptome,transcriptome_8,1.1843292481557606,0.0011676083094295294,2.9327028229624137,18,18
B,transcriptome,transcriptome_6,1.1827627250666402,0.0012072546888096437,2.918201099184853,18,18
B,transcriptome,transcriptome_9,1.0988228762684462,0.002297911938490248,2.638666618537445,18,18
B,transcriptome,transcriptome_0,0.7533471975925168,0.031110653806599383,1.5070908618705734,18,18
T,repertoire,repertoire_5,2.58162438060633,1.2699530774718897e-7,6.896212325163335,15,15
T,repertoire,repertoire_1,1.5318144659191775,0.00026412427337075146,3.5781916847205375,15,15
T,repertoire,repertoire_3,1.400745770755191,0.0007641106533029661,3.1168437452997884,15,15
T,repertoire,repertoire_2,1.2612797849356545,0.0019534323340520327,2.70920162792872,15,15
T,repertoire,repertoire_0,1.1602653283904054,0.0037409384092621347,2.4270194419589144,15,15
T,repertoire,repertoire_4,1.0977192845684756,0.006575804983426269,2.182051075011455,15,15
T,repertoire,repertoire_8,-0.7381334032293366,0.05289680591602261,1.2765705513093573,15,15
T,repertoire,repertoire_11,-0.2849812562917089,0.44183978238983157,0.35473518367836493,15,15
T,repertoire,repertoire_10,-0.23449802624587707,0.5259729826262864,0.2790365634463907,15,15
T,repertoire,repertoire_9,0.11297538507945383,0.7596943969266712,0.1193610766927297,15,15
T,repertoire,repertoire_6,0.05945112292010389,0.8722000763532071,0.05938387964404724,15,15
T,repertoire,repertoire_7,-0.02253778661619667,0.9512343029846735,0.021712496774207085,15,15
T,transcriptome,transcriptome_8,2.1948086064799224,4.403433815851716e-6,5.356208526770838,15,15
T,transcriptome,transcriptome_11,1.9883885387703983,9.194791591116475e-6,5.036458110020667,15,15
T,transcriptome,transcriptome_5,1.7410843178908306,0.00005291057003515542,4.276457559545454,15,15
T,transcriptome,transcriptome_2,1.5835345061849795,0.0001944076677282225,3.711286609850157,15,15
T,transcriptome,transcriptome_3,1.4234640278985085,0.0005778883470619873,3.2381560628578967,15,15
T,transcriptome,transcriptome_1,1.4060208632601208,0.0006264934252174358,3.203083482382154,15,15
T,transcriptome,transcriptome_4,1.2206631918812947,0.0024789570236883845,2.6057310022909816,15,15
T,transcriptome,transcriptome_10,1.2026070144020644,0.002694093936249237,2.5695872655976437,15,15
T,transcriptome,transcriptome_6,1.2123405910359626,0.0028585365613151043,2.543856248691669,15,15
T,transcriptome,transcriptome_9,1.147143665223977,0.003972888225368892,2.400893653366073,15,15
T,transcriptome,transcriptome_0,1.1548528052039313,0.0047022220983671155,2.3276968618513805,15,15
T,transcriptome,transcriptome_7,0.7722719751379722,0.044041388387421186,1.3561389985220051,15,15
myeloid,transcriptome,transcriptome_4,2.091866642880343,1.008106357874069e-6,5.996493646262405,17,17
myeloid,transcriptome,transcriptome_11,2.124556204767893,1.258270161165228e-6,5.900226102208264,17,17
myeloid,transcriptome,transcriptome_0,1.9828380325450214,3.258694557892108e-6,5.486956344670979,17,17
myeloid,transcriptome,transcriptome_2,1.9159498491104472,3.6123426280740347e-6,5.4422110638887595,17,17
myeloid,transcriptome,transcriptome_8,1.5877759653199963,0.00008039662586435398,4.094762177610275,17,17
myeloid,transcriptome,transcriptome_7,1.538742803879235,0.00009146211026497246,4.038758782554505,17,17
myeloid,transcriptome,transcriptome_6,1.3708998716249283,0.0003580330051004652,3.4460769362826533,17,17
myeloid,transcriptome,transcriptome_5,1.3272034878326129,0.0005047480862018658,3.296925319048107,17,17
myeloid,transcriptome,transcriptome_3,1.2969685244845857,0.0006448237498516997,3.190558975173827,17,17
myeloid,transcriptome,transcriptome_9,1.2180028683990198,0.0012308521952322188,2.9097940954431865,17,17
myeloid,transcriptome,transcriptome_10,1.0844846826716716,0.003426002965623371,2.465212265435509,17,17
myeloid,transcriptome,transcriptome_1,0.988234072496688,0.007118316021242366,2.1476227351808497,17,17
